"subind","N","rt_mean","rt_se","acc_mean","acc_se","groups"
"0_009",2,4.37073993683,0.20415902138,0.857358870967742,0.0136088709677419,"A_first"
"0_013",3,4.75159347057167,0.159258371922008,0.8125,0.0541265877365274,"A_first"
"0_018",3,4.37103851636333,0.175373318923811,0.854166666666667,0.0454051973285487,"A_first"
"0_025",1,3.124225497245,NA,0.625,NA,"A_first"
"0_040",1,3.52407693863,NA,0.90625,NA,"A_first"
"0_054",2,5.46713745594,0.0820704698600001,0.6875,0.03125,"A_first"
"0_057",2,3.977039515975,0.344612538815,0.890625,0.015625,"A_first"
"0_068",2,2.80528229475,0.0782641768499999,0.921875,0.046875,"A_first"
"1_001",3,4.92339364687667,0.0594233664399042,0.864583333333333,0.0208333333333333,"A_first"
"1_002",2,4.5054747462275,0.2326077818875,0.828125,0.015625,"A_first"
"1_004",3,5.62913080056333,0.133149053048689,0.697916666666667,0.0375578257860832,"A_first"
"1_007",2,5.09861558676,0.0931734442700001,0.875,0.0625,"A_first"
"1_015",2,6.266299963,0.0659849643700001,0.734375,0.015625,"A_first"
"1_020",2,5.22244977951,0.35142123699,0.75,0,"A_first"
"1_028",2,4.6235164403925,0.0814245939274998,0.828125,0.046875,"A_first"
"2_008",3,4.22394768397,0.119794140923226,0.90625,0.0650520624833166,"A_first"
"2_010",3,4.55225344499,0.0981971969391134,0.833333333333333,0.0454051973285487,"A_first"
"2_011",2,4.50216782093,0.3303886652,0.703125,0.046875,"A_first"
"2_027",3,3.804541309675,0.159865069243321,0.833333333333333,0.0454051973285487,"A_first"
"2_031",3,3.272897322975,0.0996095699979238,0.875,0.0180421959121758,"A_first"
"0_013_second",1,4.12705051899,NA,0.838709677419355,NA,"A_second"
"0_026_second",1,4.9476351738,NA,0.65625,NA,"A_second"
"0_049_second",3,4.00392647584167,0.225022643169757,0.875,0.03125,"A_second"
"0_055_second",3,4.91204194227833,0.0851881710822068,0.729166666666667,0.0275599094902562,"A_second"
"1_001_second",2,4.457016587255,0.178525567055,0.875,0.03125,"A_second"
"1_004_second",2,5.776787161825,0.163695931434999,0.890625,0.015625,"A_second"
"1_015_second",3,6.33792396386333,0.324148006678063,0.739583333333333,0.0375578257860832,"A_second"
"1_020_second",3,4.50024151801833,0.319117427310754,0.833333333333333,0.0104166666666667,"A_second"
"1_028_second",3,3.42731634776,0.0689559279882022,0.78125,0.0360843918243516,"A_second"
"1_036_second",2,5.0330992937075,0.2860487699525,0.703125,0.015625,"A_second"
"2_005_second",3,5.033281763395,0.418208499696156,0.864583333333333,0.0375578257860832,"A_second"
"2_008_second",3,4.49071208636,0.155290736016176,0.916666666666667,0.0275599094902562,"A_second"
"2_010_second",3,4.52419618765667,0.316542981364761,0.84375,0.0477351634891233,"A_second"
"2_031_second",2,3.821044683455,0.0572302341450002,0.921875,0.046875,"A_second"
"2_034_second",2,5.3537202477475,0.5299476981175,0.71875,0.03125,"A_second"
"2_048_second",2,5.18254649639,0.22995746136,0.90625,0.0625,"A_second"
"0_013_third",3,4.12242388725333,0.132320049667436,0.874327956989247,0.0472979363922951,"A_third"
"0_026_third",2,5.6038639545425,0.3151254653925,0.8125,0.125,"A_third"
"1_001_third",3,3.87319084008667,0.0740964764656064,0.9375,0.0180421959121758,"A_third"
"1_004_third",3,5.672711451845,0.141462930886689,0.833333333333333,0.081356767457361,"A_third"
"1_007_third",3,4.25033926963833,0.176128190394163,0.895833333333333,0.0275599094902562,"A_third"
"1_036_third",3,4.44609562556,0.0998980441485477,0.822916666666667,0.0208333333333333,"A_third"
"2_003_third",1,4.44805598259,NA,0.84375,NA,"A_third"
"2_005_third",3,4.18959267934333,0.192970474140351,0.916666666666667,0.0104166666666667,"A_third"
"2_008_third",3,3.39848148822833,0.360316347607986,0.9375,0.0180421959121758,"A_third"
"2_010_third",3,4.272843201955,0.0800255131655066,0.822916666666667,0.0104166666666667,"A_third"
"2_034_third",3,4.53101702531333,0.131126416630615,0.895833333333333,0.0551198189805123,"A_third"
"ldrc2_0_104",3,4.04178110758667,0.108815672592038,0.914986559139785,0.0391908264722939,"A2_first"
"ldrc2_0_122",2,4.3093944788,0.12299954891,0.84375,0.0625,"A2_first"
