"","subnum","runnum","vif","value"
"25","0_009","Run2","des.matV11",NA
"26","0_009","Run2","des.matV12",NA
"249","1_015","Run3","des.matV11",NA
"250","1_015","Run3","des.matV12",NA
"277","1_020","Run3","des.matV11",NA
"278","1_020","Run3","des.matV12",NA
"291","1_028","Run1","des.matV11",NA
"292","1_028","Run1","des.matV12",NA
"305","1_028","Run2","des.matV11",NA
"306","1_028","Run2","des.matV12",NA
"319","2_008","Run1","des.matV11",NA
"320","2_008","Run1","des.matV12",NA
"333","2_008","Run2","des.matV11",NA
"334","2_008","Run2","des.matV12",NA
"347","2_008","Run3","des.matV11",NA
"348","2_008","Run3","des.matV12",NA
"361","2_010","Run1","des.matV11",NA
"362","2_010","Run1","des.matV12",NA
"375","2_010","Run2","des.matV11",NA
"376","2_010","Run2","des.matV12",NA
"389","2_010","Run3","des.matV11",NA
"390","2_010","Run3","des.matV12",NA
"431","2_027","Run1","des.matV11",NA
"432","2_027","Run1","des.matV12",NA
"445","2_027","Run2","des.matV11",NA
"446","2_027","Run2","des.matV12",NA
"459","2_027","Run3","des.matV11",NA
"460","2_027","Run3","des.matV12",NA
"473","2_031","Run1","des.matV11",NA
"474","2_031","Run1","des.matV12",NA
"487","2_031","Run2","des.matV11",NA
"488","2_031","Run2","des.matV12",NA
"501","2_031","Run3","des.matV11",NA
"502","2_031","Run3","des.matV12",NA
"515","0_013_second","Run3","des.matV11",NA
"516","0_013_second","Run3","des.matV12",NA
"557","0_049_second","Run2","des.matV11",NA
"558","0_049_second","Run2","des.matV12",NA
"571","0_049_second","Run3","des.matV11",NA
"572","0_049_second","Run3","des.matV12",NA
"585","0_055_second","Run1","des.matV11",NA
"586","0_055_second","Run1","des.matV12",NA
"599","0_055_second","Run2","des.matV11",NA
"600","0_055_second","Run2","des.matV12",NA
"669","1_004_second","Run2","des.matV11",NA
"670","1_004_second","Run2","des.matV12",NA
"683","1_015_second","Run1","des.matV11",NA
"684","1_015_second","Run1","des.matV12",NA
"697","1_015_second","Run2","des.matV11",NA
"698","1_015_second","Run2","des.matV12",NA
"711","1_015_second","Run3","des.matV11",NA
"712","1_015_second","Run3","des.matV12",NA
"739","1_020_second","Run2","des.matV11",NA
"740","1_020_second","Run2","des.matV12",NA
"753","1_020_second","Run3","des.matV11",NA
"754","1_020_second","Run3","des.matV12",NA
"767","1_028_second","Run1","des.matV11",NA
"768","1_028_second","Run1","des.matV12",NA
"781","1_028_second","Run2","des.matV11",NA
"782","1_028_second","Run2","des.matV12",NA
"795","1_028_second","Run3","des.matV11",NA
"796","1_028_second","Run3","des.matV12",NA
"851","2_005_second","Run2","des.matV11",NA
"852","2_005_second","Run2","des.matV12",NA
"879","2_008_second","Run1","des.matV11",NA
"880","2_008_second","Run1","des.matV12",NA
"893","2_008_second","Run2","des.matV11",NA
"894","2_008_second","Run2","des.matV12",NA
"907","2_008_second","Run3","des.matV11",NA
"908","2_008_second","Run3","des.matV12",NA
"921","2_010_second","Run1","des.matV11",NA
