"TrialNum","Onset","TrueOns","cond","Stim","Resp","RT","StopTrial","SSD","correct","subind","runnum","first","groupnum","group"
0,0,0.02,"1","1","4",0.852225,0,0,"1","ldrc_0_009","1",0,"1","A_first"
1,2,2.02,"1","1","4",0.584103,0,0,"1","ldrc_0_009","1",1,"1","A_first"
2,5,5.02,"1","1","4",0.533144,0,0,"1","ldrc_0_009","1",1,"1","A_first"
3,12,12,"0","0","1",0.437186,0,0,"1","ldrc_0_009","1",1,"1","A_first"
4,14,14.01,"3","1","4",0.414442,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
5,16,16.01,"3","1","1",0.446593,1,0.2,"2","ldrc_0_009","1",1,"1","A_first"
6,18,18.01,"2","0","1",0.467788,1,0.15,"3","ldrc_0_009","1",1,"1","A_first"
7,21,21.01,"0","0","1",0.512606,0,0,"1","ldrc_0_009","1",1,"1","A_first"
8,23,23.01,"1","1","4",0.351151,0,0,"1","ldrc_0_009","1",1,"1","A_first"
9,25,25.01,"0","0","1",0.469237,0,0,"1","ldrc_0_009","1",1,"1","A_first"
10,34,34.01,"0","0","1",0.516702,0,0,"1","ldrc_0_009","1",1,"1","A_first"
11,36,36.01,"1","1","4",0.57494,0,0,"1","ldrc_0_009","1",1,"1","A_first"
12,39,39.02,"1","1","4",0.517812,0,0,"1","ldrc_0_009","1",1,"1","A_first"
13,41,41.02,"0","0","1",0.353151,0,0,"1","ldrc_0_009","1",1,"1","A_first"
14,43,43.02,"0","0","1",0.59424,0,0,"1","ldrc_0_009","1",1,"1","A_first"
15,46,46,"0","0","1",0.539716,0,0,"1","ldrc_0_009","1",1,"1","A_first"
16,48,48,"1","1","4",0.50292,0,0,"1","ldrc_0_009","1",1,"1","A_first"
17,51,51,"1","1","4",0.496816,0,0,"1","ldrc_0_009","1",1,"1","A_first"
18,56,56.01,"3","1","0",0,1,0.1,"4","ldrc_0_009","1",1,"1","A_first"
19,58,58.01,"3","1","0",0,1,0.15,"4","ldrc_0_009","1",1,"1","A_first"
20,61,61.01,"0","0","1",0.468017,0,0,"1","ldrc_0_009","1",1,"1","A_first"
21,63,63.01,"3","1","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
22,66,66.01,"1","1","4",0.546205,0,0,"1","ldrc_0_009","1",1,"1","A_first"
23,69,69.01,"1","1","4",0.485977,0,0,"1","ldrc_0_009","1",1,"1","A_first"
24,71,71.01,"0","0","1",0.482038,0,0,"1","ldrc_0_009","1",1,"1","A_first"
25,73,73.01,"0","0","1",0.45163,0,0,"1","ldrc_0_009","1",1,"1","A_first"
26,75,75.01,"0","0","4",0.354747,0,0,"0","ldrc_0_009","1",1,"1","A_first"
27,77,77.01,"1","1","4",0.430071,0,0,"1","ldrc_0_009","1",1,"1","A_first"
28,79,79.02,"1","1","4",0.754207,0,0,"1","ldrc_0_009","1",1,"1","A_first"
29,81,81.02,"1","1","4",0.417568,0,0,"1","ldrc_0_009","1",1,"1","A_first"
30,83,83.02,"0","0","1",0.460749,0,0,"1","ldrc_0_009","1",1,"1","A_first"
31,86,86.02,"2","0","1",0.419581,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
32,88,88,"2","0","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
33,90,90,"3","1","4",0.466639,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
34,93,93,"1","1","4",0.486497,0,0,"1","ldrc_0_009","1",1,"1","A_first"
35,95,95.01,"1","1","4",0.465776,0,0,"1","ldrc_0_009","1",1,"1","A_first"
36,97,97.01,"1","1","4",0.660059,0,0,"1","ldrc_0_009","1",1,"1","A_first"
37,100,100.01,"0","0","1",0.542853,0,0,"1","ldrc_0_009","1",1,"1","A_first"
38,103,103.01,"0","0","1",0.640537,0,0,"1","ldrc_0_009","1",1,"1","A_first"
39,105,105.01,"0","0","1",0.629097,0,0,"1","ldrc_0_009","1",1,"1","A_first"
40,108,108.01,"0","0","1",0.446899,0,0,"1","ldrc_0_009","1",1,"1","A_first"
41,110,110.01,"0","0","1",0.392019,0,0,"1","ldrc_0_009","1",1,"1","A_first"
42,112,112.01,"2","0","1",0.438317,1,0.2,"3","ldrc_0_009","1",1,"1","A_first"
43,114,114.01,"3","1","0",0,1,0.15,"4","ldrc_0_009","1",1,"1","A_first"
